Vehicle,Day,Arrival,Departure,Punctuality,Distance,Latitude,Longitude,Data,Timetable,Block,JourneySeq,Line,Journey,StopSeq,Stop,StopName,Punctuality_Seconds,Didok,On_Second_Class,Off_Second_Class,Day_Type,Door_open_time,Door_open_time_Seconds,Direction,Passenger_Count,schedule_departure,Arrival_Hour,Hour,Date,Delay_Impact,YearMonth
532,2024-07-01,2024-07-01 15:05:04,2024-07-01 15:05:18,0 days 00:00:48,384.0,46.806281,7.175601,286,1,6024,21,2,62490.0,2,858914102,"Fribourg, Chaley",48.0,8589141,6.0,1.0,lu-ve-scol,0 days 00:00:14,14.0,3,5.0,2024-07-01 15:04:30,15,15,2024-07-01,240.0,2024-07
532,2024-07-01,2024-07-01 15:05:58,2024-07-01 15:06:09,0 days 00:01:09,271.0,46.806711,7.172136,286,1,6024,21,2,62490.0,3,858915202,"Fribourg, Mon-Repos",69.0,8589152,3.0,0.0,lu-ve-scol,0 days 00:00:11,11.0,3,8.0,2024-07-01 15:05:00,15,15,2024-07-01,552.0,2024-07
532,2024-07-01,2024-07-01 15:08:25,2024-07-01 15:08:35,0 days 00:00:35,301.0,46.811451,7.171016,286,1,6024,21,2,62490.0,6,859176602,"Fribourg, Boschung",35.0,8591766,4.0,0.0,lu-ve-scol,0 days 00:00:10,10.0,3,12.0,2024-07-01 15:08:00,15,15,2024-07-01,420.0,2024-07
532,2024-07-01,2024-07-01 15:13:10,2024-07-01 15:13:22,0 days 00:01:22,703.0,46.80609,7.161261,286,1,6024,21,2,62490.0,9,858725502,"Fribourg, Tilleul/Cathédrale",82.0,8587255,2.0,2.0,lu-ve-scol,0 days 00:00:12,12.0,3,10.0,2024-07-01 15:12:00,15,15,2024-07-01,820.0,2024-07
532,2024-07-01,2024-07-01 15:15:11,2024-07-01 15:15:24,0 days 00:01:24,113.0,46.803911,7.155266,286,1,6024,21,2,62490.0,11,858916102,"Fribourg, St-Pierre",84.0,8589161,2.0,6.0,lu-ve-scol,0 days 00:00:13,13.0,3,6.0,2024-07-01 15:14:00,15,15,2024-07-01,504.0,2024-07
532,2024-07-01,2024-07-01 15:17:21,2024-07-01 15:17:42,0 days 00:00:42,376.0,46.802898,7.15141,286,1,6024,21,2,62490.0,12,859237411,"Fribourg/Freiburg, Pl. Gare",42.0,8592374,17.0,5.0,lu-ve-scol,0 days 00:00:21,21.0,3,18.0,2024-07-01 15:17:00,15,15,2024-07-01,756.0,2024-07
529,2024-07-01,2024-07-01 15:12:47,2024-07-01 15:13:04,0 days 00:00:34,384.0,46.806278,7.175525,286,1,6029,8,2,62496.0,2,858914102,"Fribourg, Chaley",34.0,8589141,2.22,0.0,lu-ve-scol,0 days 00:00:17,17.0,3,2.22,2024-07-01 15:12:30,15,15,2024-07-01,75.48,2024-07
529,2024-07-01,2024-07-01 15:13:38,2024-07-01 15:13:50,0 days 00:00:50,266.0,46.806686,7.172115,286,1,6029,8,2,62496.0,3,858915202,"Fribourg, Mon-Repos",50.0,8589152,4.44,0.0,lu-ve-scol,0 days 00:00:12,12.0,3,6.66,2024-07-01 15:13:00,15,15,2024-07-01,333.0,2024-07
529,2024-07-01,2024-07-01 15:15:00,2024-07-01 15:15:16,0 days 00:01:16,225.0,46.809385,7.170446,286,1,6029,8,2,62496.0,5,858913802,"Fribourg, Cité-Jardins",76.0,8589138,6.66,2.0,lu-ve-scol,0 days 00:00:16,16.0,3,12.43,2024-07-01 15:14:00,15,15,2024-07-01,944.68,2024-07
529,2024-07-01,2024-07-01 15:16:18,2024-07-01 15:16:31,0 days 00:00:31,347.0,46.811458,7.171023,286,1,6029,8,2,62496.0,6,859176602,"Fribourg, Boschung",31.0,8591766,3.33,1.0,lu-ve-scol,0 days 00:00:13,13.0,3,14.76,2024-07-01 15:16:00,15,15,2024-07-01,457.56,2024-07
