StopName,Didok,Simulation_Station_Index,Latitude,Longitude
"Fribourg, Chaley",8589141,0,46.806281,7.175601
"Fribourg, Mon-Repos",8589152,1,46.806711,7.172136
"Fribourg, Cité-Jardins",8589138,2,46.809385,7.170446
"Fribourg, Boschung",8591766,3,46.811451,7.171016
"Fribourg, Tilleul/Cathédrale",8587255,4,46.80609,7.161261
"Fribourg, St-Pierre",8589161,5,46.803911,7.155266
"Fribourg/Freiburg, Pl. Gare",8592374,6,46.802898,7.15141
"Villars-sur-Glâne, Méridienne",8589130,7,46.794173,7.111828
"Villars-sur-Glâne, Moncor",8589131,8,46.79857,7.120788
"Villars-sur-Glâne, Belle-Croix",8588344,9,46.800233,7.125455
"Villars-sur-Glâne,Villars-Vert",8577786,10,46.798991,7.131395
"Fribourg, Bertigny",8577785,11,46.8013,7.138046
"Fribourg, Bellevue",8504622,12,46.81092671540513,7.171932726075358
"Fribourg, Schönberg Dunant",8589271,13,46.80542535842347,7.178406780411913
"Fribourg, Guintzet",8592375,14,46.80549,7.140123
"Villars-sur-Glâne,Jean Paul II",8592378,15,46.803893,7.137545
"Villars-sur-Glâne, Hôp. cant.",8592377,16,46.801851,7.13667
"Fribourg, Route-de-Tavel",8591767,17,46.811223,7.172643
"Fribourg, Kessler",8589270,18,46.812081,7.173246
"Fribourg, Ploetscha",8589147,19,46.813063,7.173218
"Fribourg, Windig",8589158,20,46.816016,7.17397
"Fribourg, Pont-Zaehringen",8587356,21,46.807676,7.168025
"Fribourg, Charmettes",8577741,22,46.794961,7.157548
"Fribourg, Industrie",8589154,23,46.796508,7.155301
"Fribourg, J. Vogt",8588858,24,46.798348,7.153271
"Fribourg, Fries",8589155,25,46.800675,7.152251
"Fribourg, Gambach",8588351,26,46.806306,7.15117
"Fribourg, Vuille",8577820,27,46.80954879023868,7.146038655217258
"Givisiez, Mont Carmel",8587238,28,46.81181330912885,7.136875253157107
